"","SERIALNO","SPORDER","AGEP","SEX","RAC1P","HISP","SCHL","HINCP","VEH","RELP","ADJINC","ST","YEAR"
"187","810203","1",78,1,1,1,16,40500,1,0,1.007549,"9",2013
"188","1336330","2",53,2,1,1,18,132001,2,1,1.018237,"9",2011
"189","1364539","2",72,2,1,4,16,43500,2,1,1.010207,"12",2012
"190","1107043","1",19,1,1,1,8,-59999,-1,14,1.016787,"12",2007
"191","178508","1",59,1,1,1,22,226000,3,0,1.007549,"12",2013
"192","1306730","1",42,1,2,1,20,46200,2,0,0.99948,"12",2009
"193","457730","1",58,1,1,1,16,-60000,-1,16,1.018237,"12",2011
"194","925302","1",48,2,1,1,13,105000,2,0,1.016787,"12",2007
"195","694691","1",56,1,1,1,9,75900,2,0,1.016787,"9",2007
"196","1270254","1",94,2,1,1,19,-60000,-1,16,1.018237,"9",2011
"197","866074","1",51,1,2,1,14,94600,2,0,1.016787,"12",2007
"198","2017001492518","1",20,1,2,1,16,-60000,NA,16,1.011189,"12",2017
"199","1366926","1",59,1,1,1,12,112400,2,0,1.016787,"12",2007
"200","1231361","1",79,1,1,1,19,49700,3,0,1.007549,"12",2013
"201","1070892","2",7,1,1,2,4,64300,1,2,1.010207,"12",2012
"202","17912","2",57,2,1,1,13,25000,2,2,1.007624,"12",2010
"203","79969","1",35,2,8,2,13,26500,1,0,1.015675,"12",2006
"204","103665","1",41,1,1,1,4,-60000,-1,17,1.018389,"9",2008
"205","1071635","1",66,1,1,1,22,155000,1,0,1.010207,"9",2012
"206","691483","1",82,2,1,1,16,61900,1,0,1.008425,"12",2014
"207","691145","1",81,2,1,1,15,13000,1,0,1.010207,"12",2012
"208","1207034","2",81,1,1,1,22,80900,1,1,1.001264,"12",2015
"209","179944","1",32,1,1,1,16,25400,4,0,1.007624,"12",2010
"210","1151678","1",87,2,1,1,9,-59999,-1,13,1.016787,"12",2007
"211","1037074","1",80,1,1,1,13,-60000,-1,13,1.015675,"12",2006
"212","1232860","1",57,2,9,1,10,68650,1,0,1.016787,"9",2007
"213","143588","3",49,2,1,1,20,72400,2,2,1.010207,"12",2012
"214","1005213","1",28,1,1,11,16,18700,1,0,0.99948,"12",2009
"215","4744","3",2,2,1,1,0,234000,3,7,1.007549,"9",2013
"216","861208","2",55,2,2,1,19,54900,1,1,1.007624,"12",2010
"217","1441329","1",50,2,6,1,22,230200,2,0,1.007549,"12",2013
"218","1135360","2",60,2,1,1,21,81600,2,1,1.018389,"12",2008
"219","2017000684420","4",11,2,1,3,8,120000,3,2,1.011189,"12",2017
"220","493818","4",45,1,1,1,9,39500,1,2,1.007549,"9",2013
"221","477391","3",2,1,1,1,0,1e+05,2,2,1.008425,"9",2014
"222","360456","4",12,1,1,1,3,194030,3,2,1.016787,"12",2007
"223","1318302","3",7,1,2,1,4,72600,2,2,1.007624,"12",2010
"224","353326","4",15,2,1,1,4,10000,1,2,1.015675,"12",2006
"225","1044738","2",35,2,6,1,21,296000,3,1,1.018389,"9",2008
"226","1161369","2",36,2,2,1,21,51000,2,1,0.99948,"12",2009
"227","001210967","1",33,2,1,1,21,93000,2,0,1.007588,"12",2016
"228","1204543","2",52,1,1,1,16,82500,2,1,1.008425,"9",2014
"229","2017001045368","1",44,2,1,1,21,104500,2,0,1.011189,"12",2017
